iter	RMSE
0	5560.357347
1	5487.063876
2	5421.404706
3	5351.920079
4	5285.730549
5	5236.08323
6	5173.031836
7	5112.707766
8	5065.29624
9	4997.843188
10	4932.116657
11	4861.473001
12	4779.715663
13	4713.665637
14	4678.472268
15	4604.047382
16	4565.776341
17	4527.708399
18	4476.6309
19	4416.755272
20	4347.647702
21	4280.772786
22	4223.950984
23	4177.90629
24	4146.344508
25	4090.286378
26	4028.524111
27	3985.286216
28	3949.345948
29	3901.249231
30	3852.194321
31	3803.239917
32	3745.236933
33	3700.545855
34	3660.434328
35	3613.263994
36	3561.179068
37	3515.086597
38	3469.021158
39	3425.297208
40	3382.912293
41	3354.409903
42	3312.768733
43	3273.418142
44	3231.739098
45	3199.720689
46	3159.064775
47	3116.772381
48	3085.44176
49	3050.715303
50	3014.447321
51	2978.680663
52	2947.135642
53	2916.166438
54	2878.576568
55	2846.546403
56	2827.851627
57	2800.213186
58	2764.272016
59	2732.803357
60	2703.325808
61	2670.26208
62	2641.470049
63	2610.633693
64	2580.355154
65	2556.81624
66	2533.189818
67	2506.354214
68	2479.812593
69	2455.366994
70	2431.887641
71	2408.19053
72	2392.420164
73	2369.69408
74	2344.648541
75	2323.804577
76	2303.032913
77	2281.741064
78	2260.508574
79	2235.815087
80	2222.867831
81	2201.967061
82	2188.27604
83	2174.765159
84	2149.529279
85	2129.27683
86	2113.986085
87	2097.172442
88	2078.205793
89	2059.919407
90	2043.00867
91	2028.91352
92	2013.214313
93	1997.636204
94	1982.788993
95	1963.454242
96	1952.355348
97	1937.514493
98	1926.505371
99	1913.174308
100	1893.071618
101	1882.546177
102	1872.379647
103	1860.862216
104	1849.104523
105	1839.2018
106	1826.058673
107	1816.382266
108	1801.950196
109	1791.345371
110	1779.498416
111	1764.697164
112	1754.133669
113	1741.223326
114	1733.362486
115	1723.24725
116	1714.951902
117	1704.339369
118	1692.013466
119	1678.676046
120	1667.613141
121	1659.834915
122	1647.052134
123	1636.237079
124	1627.226934
125	1617.295385
126	1607.451305
127	1600.223448
128	1591.065506
129	1580.382022
130	1571.267003
131	1561.987651
132	1552.502703
133	1546.707642
134	1537.640396
135	1529.909361
136	1523.399388
137	1517.007829
138	1506.84192
139	1499.586369
140	1492.454186
141	1483.597033
142	1474.403211
143	1467.70629
144	1462.011018
145	1455.078465
146	1449.456174
147	1443.730673
148	1441.185839
149	1432.018243
150	1426.560846
151	1420.004727
152	1411.885251
153	1404.38964
154	1398.160284
155	1390.961969
156	1383.344001
157	1377.207751
158	1370.363985
159	1364.628833
160	1358.897357
161	1352.282635
162	1345.08827
163	1340.551077
164	1334.083934
165	1328.687668
166	1323.485399
167	1319.267962
168	1313.287485
169	1308.293446
170	1299.648952
171	1294.015763
172	1286.295831
173	1279.288598
174	1272.160937
175	1265.249803
176	1259.956151
177	1253.959274
178	1249.098955
179	1244.067848
180	1240.702325
181	1236.009801
182	1230.518229
183	1227.666531
184	1222.971748
185	1219.847987
186	1215.344713
187	1208.682043
188	1203.348581
189	1198.821725
190	1192.847511
191	1187.705435
192	1183.550397
193	1179.477527
194	1178.188482
195	1174.706382
196	1171.835865
197	1166.944362
198	1161.501862
199	1156.787487
200	1152.964791
201	1149.239418
202	1144.961456
203	1141.387066
204	1137.882704
205	1133.597495
206	1129.07251
207	1125.619428
208	1122.329418
209	1119.105008
210	1115.407357
211	1111.033503
212	1107.990096
213	1103.702907
214	1100.73464
215	1096.416226
216	1093.357243
217	1090.52042
218	1087.588457
219	1085.475452
220	1082.624259
221	1079.834128
222	1075.254063
223	1072.516074
224	1069.870693
225	1066.216147
226	1064.110052
227	1061.581597
228	1057.82437
229	1055.391397
230	1053.015518
231	1050.69272
232	1048.447443
233	1046.637405
234	1043.12012
235	1041.075449
236	1037.719555
237	1036.32804
238	1035.006214
239	1033.274309
240	1028.415566
241	1023.817631
242	1021.902391
243	1020.027455
244	1018.194191
245	1016.318433
246	1013.822028
247	1012.16769
248	1010.457667
249	1008.785202
250	1005.981744
251	1001.551327
252	999.5326378
253	997.9566678
254	996.3309539
255	994.6332124
256	993.132251
257	991.6639597
258	988.9667739
259	987.5532121
260	983.3780399
261	981.9959375
262	980.5647887
263	978.328216
264	977.0127093
265	975.7263759
266	974.3934009
267	972.2581845
268	970.2019806
269	968.9178804
270	967.1878681
271	966.0227483
272	964.3302124
273	963.1947651
274	962.0199665
275	960.1251055
276	958.9851013
277	957.4018725
278	955.8666669
279	954.7629024
280	953.7354956
281	952.7306999
282	951.7876321
283	950.7583797
284	949.3031125
285	948.3493171
